[1],[381],[1],[4],[5]
[2],[539],[3],[8],[11]
[3],[720],[6],[22],[28]
[4],[839],[10],[40],[50]
[5],[961],[15],[59],[74]
[6],[1299],[21],[89],[110]
[7],[1221],[28],[103],[131]
[8],[1700],[36],[151],[187]
[9],[1709],[45],[188],[233]
[10],[2501],[55],[239],[294]
[11],[1719],[66],[270],[336]
[12],[2680],[79],[323],[401]
[13],[3340],[92],[386],[477]
[14],[2372],[106],[442],[547]
[15],[2570],[121],[501],[621]
[16],[7081],[137],[556],[692]
[17],[3350],[154],[626],[779]
[18],[2990],[172],[704],[875]
[19],[6740],[202],[883],[1073]
[20],[4387],[222],[969],[1179]
[21],[10498],[243],[1038],[1269]
[22],[4480],[266],[1147],[1400]
[23],[6380],[302],[1347],[1623]
[24],[7041],[326],[1458],[1758]
[25],[5820],[354],[1574],[1899]
[26],[8292],[398],[1842],[2193]
[27],[17900],[427],[1972],[2350]
[28],[12681],[466],[2198],[2604]
[29],[12939],[497],[2326],[2761]
[30],[100369],[641],[3475],[3940]
[31],[12150],[674],[3618],[4114]
[32],[9921],[707],[3760],[4288]
[33],[21050],[755],[4025],[4586]
[34],[9327],[793],[4204],[4799]
[35],[18520],[843],[4492],[5122]
[36],[14727],[889],[4718],[5384]
[37],[24002],[971],[5273],[5976]
[38],[133390],[1160],[6762],[7503]
[39],[18699],[1208],[7000],[7780]
[40],[73960],[1302],[7645],[8465]
[1],[641],[1],[5],[6]
[2],[1442],[3],[10],[13]
[3],[2167],[6],[25],[31]
[4],[2079],[10],[34],[44]
[5],[1862],[15],[60],[75]
[6],[1802],[21],[89],[110]
[7],[4129],[28],[108],[136]
[8],[2699],[36],[140],[176]
[9],[1967],[45],[181],[226]
[10],[1872],[55],[229],[284]
[11],[1740],[66],[258],[324]
[12],[1962],[78],[306],[384]
[13],[2401],[92],[365],[456]
[14],[2332],[106],[431],[536]
[15],[2801],[122],[520],[640]
[16],[4690],[138],[584],[720]
[17],[3741],[155],[665],[818]
[18],[2789],[174],[738],[909]
[19],[2718],[193],[823],[1013]
[20],[3390],[213],[907],[1117]
[21],[3152],[234],[986],[1217]
[22],[4480],[260],[1120],[1373]
[23],[3619],[283],[1219],[1495]
[24],[7796],[328],[1484],[1784]
[25],[4060],[354],[1611],[1936]
[26],[4942],[386],[1770],[2121]
[27],[7920],[429],[2017],[2395]
[28],[5560],[464],[2194],[2600]
[29],[6268],[500],[2368],[2803]
[30],[6590],[544],[2618],[3083]
[31],[6568],[582],[2803],[3299]
[32],[6368],[618],[2954],[3482]
[33],[6320],[656],[3139],[3700]
[34],[5701],[693],[3300],[3895]
[35],[21751],[818],[4263],[4893]
[36],[27249],[976],[5512],[6178]
[37],[9339],[1030],[5841],[6544]
[38],[28479],[1187],[7067],[7808]
[39],[8671],[1237],[7308],[8088]
[40],[18489],[1348],[8112],[8932]
[1],[331],[1],[4],[5]
[2],[479],[3],[16],[19]
[3],[632],[6],[28],[34]
[4],[639],[10],[44],[54]
[5],[949],[15],[59],[74]
[6],[1092],[21],[80],[101]
[7],[1361],[28],[103],[131]
[8],[1400],[36],[137],[173]
[9],[1431],[45],[163],[208]
[10],[2511],[55],[189],[244]
[11],[3428],[66],[235],[301]
[12],[3731],[78],[283],[361]
[13],[2100],[91],[338],[429]
[14],[2301],[105],[392],[497]
[15],[2351],[120],[433],[553]
[16],[9043],[136],[473],[609]
[17],[3343],[153],[542],[695]
[18],[6652],[171],[614],[785]
[19],[4449],[195],[723],[913]
[20],[45402],[215],[799],[1009]
[21],[5069],[236],[895],[1126]
[22],[65999],[273],[1105],[1358]
[23],[33560],[296],[1203],[1479]
[24],[52092],[325],[1352],[1652]
[25],[30570],[350],[1461],[1786]
[26],[10831],[376],[1569],[1920]
[27],[10881],[411],[1734],[2112]
[28],[8230],[444],[1892],[2298]
[29],[9229],[479],[2067],[2502]
[30],[7710],[509],[2175],[2640]
[31],[17209],[580],[2652],[3148]
[32],[8972],[613],[2789],[3317]
[33],[20750],[676],[3183],[3744]
[34],[11368],[716],[3375],[3970]
[35],[18878],[787],[3822],[4452]
[36],[11578],[832],[4048],[4714]
[37],[16229],[888],[4373],[5076]
[38],[33209],[1072],[5827],[6568]
[39],[22151],[1190],[6672],[7452]
[40],[54820],[1354],[7944],[8764]
[1],[412],[1],[8],[9]
[2],[448],[3],[16],[19]
[3],[620],[6],[26],[32]
[4],[808],[10],[48],[58]
[5],[3009],[15],[73],[88]
[6],[2038],[21],[90],[111]
[7],[2091],[28],[129],[157]
[8],[1233],[36],[168],[204]
[9],[1822],[45],[212],[257]
[10],[1512],[55],[256],[311]
[11],[3493],[66],[293],[359]
[12],[3252],[78],[333],[411]
[13],[2129],[91],[395],[486]
[14],[3550],[107],[449],[554]
[15],[3812],[122],[520],[640]
[16],[3860],[138],[576],[712]
[17],[4539],[157],[668],[821]
[18],[4432],[175],[738],[909]
[19],[6189],[194],[820],[1010]
[20],[5081],[214],[891],[1101]
[21],[4900],[235],[977],[1208]
[22],[3591],[257],[1071],[1324]
[23],[4048],[282],[1179],[1455]
[24],[5858],[309],[1301],[1601]
[25],[5021],[335],[1426],[1751]
[26],[6700],[368],[1566],[1917]
[27],[4721],[396],[1687],[2065]
[28],[9911],[446],[2012],[2418]
[29],[19629],[479],[2162],[2597]
